Position,country,weighted matches,Points,Rating
1,England,41,"5,083","5,083"
2,India,47,"5,669","5,669"
3,South Africa,39,"4,488","4,488"
4,New Zealand,33,"3,729","3,729"
5,Australia,40,"4,342","4,342"
6,Pakistan,39,"3,698","3,698"
7,Bangladesh,33,"2,927","2,927"
8,West Indies,38,"2,983","2,983"
9,Sri Lanka,43,"3,266","3,266"
10,Afghanistan,29,"1,870","1,870"
11,Zimbabwe,30,"1,609","1,609"
12,Ireland,23,"1,016","1,016"
13,Scotland,10,373,373
14,Nepal,8,152,152
15,UAE,15,144,144
16,Papua New Guinea,9,50,50
